 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   S        16     32     48          -365.018358              -21.008468               -2.170977            -0.000002            -0.000001              -0.000002              -0.000005                  -0.000009                     -0.000014                   1.325870                1.322105              3.326655             3.830454               3.670213               0.503799              3.411222         23.910062       44.929784        4.197992       5.703898         -19.560006            
   S        16     34     50          -368.130573              -22.137149               -1.071262            -0.000001             0.000000               0.000000              -0.000002                  -0.000003                     -0.000004                   1.290783                1.362869              3.352816             3.942766               3.764056               0.589950              3.434627         24.807503       46.797842        2.898595       3.112215         -19.741999            
   S        16     36     52          -368.801995              -23.360296               -0.277685            -0.000001             0.000000               0.000000              -0.000002                  -0.000003                     -0.000005                   1.263343                1.246711              3.386360             4.032760               3.845458               0.646400              3.465286         26.012737       49.267862        1.640501       0.671422         -19.169264            
   Ar       18     12     30          -210.897689                0.793796              -19.281732            -0.000004            -0.000006              -0.000004              -0.000009                  -0.000008                     -0.000017                   1.523900                1.802522              3.351166             2.996197               3.213887              -0.354969              3.457588          1.687299        0.114575       21.831974      40.125231          -7.683370            
   Ar       18     14     32          -248.014727               -1.369590              -17.183577            -0.000002            -0.000002              -0.000002              -0.000005                  -0.000004                     -0.000008                   1.493112                1.842240              3.305766             3.075737               3.207159              -0.230029              3.411713          3.862994        4.580357       20.380900      37.117038          -8.931613            
   Ar       18     16     34          -279.383913               -3.595640              -14.279552            -0.000002            -0.000001              -0.000001              -0.000004                  -0.000003                     -0.000006                   1.520008                1.679393              3.292187             3.162772               3.231931              -0.129415              3.396659          6.121460        9.106156       17.445409      31.369186          -7.649543            
   Ar       18     18     36          -305.444256               -5.895398              -12.225721            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.499638                1.628257              3.301183             3.257615               3.279472              -0.043568              3.403485          8.488710       13.910119       14.683996      26.060343          -6.866499            
   Ar       18     20     38          -327.909006               -8.132371              -10.146582            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.476718                1.731544              3.314940             3.340712               3.328529               0.025772              3.414942         10.801689       18.612982       12.912275      22.464750          -8.074869            
   Ar       18     22     40          -345.181375              -10.232040               -8.271676            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000004                     -0.000007                   1.460957                1.484431              3.325982             3.416823               3.376247               0.090841              3.423778         12.899232       22.860407       10.244172      17.272369          -7.585351            
   Ar       18     24     42          -360.243415              -12.212429               -7.239833            -0.000005            -0.000005              -0.000005              -0.000012                  -0.000017                     -0.000029                   1.429867                1.514998              3.337348             3.486972               3.423648               0.149624              3.432942         14.737731       26.575579        9.030734      15.062040          -9.622447            
   Ar       18     26     44          -373.996039              -14.068767               -6.373839            -0.000004            -0.000003              -0.000003              -0.000009                  -0.000014                     -0.000023                   1.419969                1.528178              3.351445             3.554046               3.472593               0.202601              3.444776         16.480294       30.061306        8.397900      13.752624         -12.028203            
   Ar       18     28     46          -386.109878              -15.753994               -5.528305            -0.000013            -0.000011              -0.000012              -0.000032                  -0.000053                     -0.000086                   1.392625                1.489373              3.367872             3.623985               3.525983               0.256113              3.458896         18.225069       33.645854        7.565695      12.113839         -13.875145            
   Ar       18     30     48          -396.374352              -17.238736               -4.550883             0.000001             0.000001               0.000001               0.000002                   0.000004                      0.000006                   1.359058                1.354701              3.385558             3.704408               3.588161               0.318850              3.474263         19.889436       37.059892        6.554274      10.264474         -15.610328            
   Ar       18     32     50          -404.372454              -18.497312               -3.335479             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   1.322048                1.333736              3.406352             3.800640               3.663588               0.394288              3.492683         21.001007       39.354096        5.343270       7.998102         -16.757994            
   Ar       18     34     52          -409.613124              -19.728994               -2.292513            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000004                     -0.000007                   1.284633                1.312753              3.433035             3.900783               3.745487               0.467748              3.516878         22.028983       41.482551        3.943579       5.240670         -16.294766            
   Ar       18     36     54          -412.991915              -21.038798               -1.609382            -0.000001             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   1.253290                1.269533              3.465309             3.985168               3.819751               0.519859              3.546571         23.353276       44.189920        2.980538       3.378791         -16.561342            
   Ar       18     38     56          -415.560047              -22.392018               -1.048749             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000003                   1.225361                1.297313              3.500124             4.055748               3.885828               0.555624              3.578794         24.714490       46.961985        2.567489       2.568132         -18.458052            
   Ar       18     40     58          -417.010523              -23.694009               -0.415515             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.198414                1.346350              3.532307             4.120591               3.947414               0.588284              3.608489         25.990092       49.561307        2.047069       1.450476         -20.112461            
   Ca       20     14     34          -248.523510                0.990046              -19.293429            -0.000002            -0.000003              -0.000002              -0.000004                  -0.000004                     -0.000009                   1.642136                1.819350              3.418306             3.113357               3.296157              -0.304949              3.522151          1.822015        0.508783       22.458031      41.318589          -9.325821            
